id,name,aliases,type,required_markup,markup_phrase,legal_basis,done
0010d0bb-c8b2-45c2-89b1-c1805b95efdd,Захаров Андрей Вячеславович,"[""Захаров А. В."",""Андрей Вячеславович Захаров"",""Захаров Андрей"",""З. А. В."",""Захаров Андрей В."",""Андрей Захаров"",""А. Захаров"",""З. Андрей"",""З. А."",""Андрюха Захаров"",""Андрюша Захаров"",""Захаров Андрюха"",""Захаров Андрюша"",""А. В. З."",""З. В. А."",""Андрей В. З."",""А. В. Захаров"",""А. Захаров В."",""Захаров В. А.""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
0020e948-26d3-4b34-a856-994ba74216f9,Чернышев Дмитрий Александрович,"[""Чернышев Д. А."",""Чернышев Дмитрий"",""Чернышев Дмитрий А."",""Чернышев Дмитрий Александрович"",""Дмитрий Чернышев"",""Д. А. Чернышев"",""Д. Чернышев"",""Дима Чернышев"",""Димка Чернышев"",""Димон Чернышев"",""Дмитрий Александрович Чернышев"",""Чернышев Дима"",""Чернышев Димка"",""Чернышев Димон"",""Чернышев Д.""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
002b2e39-dcab-4c70-9573-d98d1cdcda2c,Институт правовой инициативы Центральной и Восточной Европы (CEELI Institute) (Чехия),"[""Центр правовых инициатив Центральной и Восточной Европы"",""CEELI Чехия"",""Институт правовой инициативы ЦВЕ"",""CEELI Центральная и Восточная Европа"",""CEELI Institute"",""Институт CEELI"",""CEELI"",""Центр CEELI"",""Правовой институт ЦВЕ"",""CEELI Прага"",""Институт права ЦВЕ"",""CEELI CEE"",""CEELI Восточная Европа""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
007405a4-9eda-4d0f-8fa4-b9f1642c2295,Автономная некоммерческая организация Московская школа гражданского просвещения,"[""АНО Московская школа гражданского просвещения"",""Московская школа гражданского просвещения"",""Московская школа гражданского образования"",""МСГП"",""АНО МСГП"",""АНО Московская школа ГП"",""Московская школа ГП"",""Московская школа образования"",""МСО"",""АНО МСО"",""Московская школа"",""Школа просвещения"",""Школа ГП"",""МосШГП"",""МШГП"",""МШГО"",""АНО МШГО"",""Московская школа гражданки"",""Школа гражданки"",""Московская школа просвета"",""Школа гражданского просвета"",""Гражданская школа Москвы"",""Школа МСГП"",""Московская АНО школа""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
009dcac6-4a59-4b88-8b9e-363c47818b65,Проект Можем объяснить,"[""Проект Можем объяснить"",""ПМО"",""Проект МО"",""Можем объяснить"",""ПМОб"",""можем объяснить"",""можемобъяснить"",""МО"",""можем"",""Объясним"",""ПМ"",""ПроектМО"",""Проект Объясним""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
00ec8fe8-6758-45a6-b950-6003c1c13a3e,Челябинский региональный общественный фонд поддержки демократии Уральский демократический фонд,"[""Челябинский фонд поддержки демократии"",""Уральский демократический фонд"",""ЧРОФПД"",""УДФ"",""Челябинский общественный фонд"",""Уральский фонд демократии"",""Челябинский демфонд"",""Уралдемфонд"",""Челябинский дем. фонд"",""Уральский дем. фонд"",""Чебдемфонд"",""УралДФ"",""Челябинский фонд"",""Фонд демократии Урала"",""ЧРФД"",""УДФ Чел"",""Демфонд Урала"",""Челябинский дем"",""Уральский дем"",""Челядемфонд""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
01599e0b-5d53-49ff-ae2c-45c4a5aaafba,"Объединение, членами которого являются: Колесников Борис Викторович, родившийся 25.10.1962 года в г. Донецке, Ахметов Ринат Леонидович, родившийся 21.09.1966 в г. Донецке, Ахметова-Айдарова Татьяна Игоревна, 28.06.1983 года рождения, Кий Сергей Викторович, родившийся 21.12.1969 в г. Сусуман Магаданской области, Такташев Ренат Жиганович, родившийся 24.07.1986 в г. Москве, Такташева Раиса Саитовна, родившаяся 20.06.1960 в г. Донецке, Такташева Эльмира Жигановна, родившаяся 03.05.1984 г. в п. Мосрентген Ленинского района Московской области, Чертков Юрий Дмитриевич, родившийся 16.05.1962 в г. Донецке","[""КБВ"",""РЛА"",""ТИА"",""СВК"",""РЖТ"",""РСА"",""ЭЖТ"",""ЮДЧ""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
01fa3a9f-e3ed-4aae-9cbb-bacdf4129d6b,Автономная некоммерческая организация Свободное слово,"[""АНО Свободное слово"",""АНО СС"",""АНО СНО Свободное слово"",""Свободное слово"",""СС""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
0246d81b-cae1-477b-b2b3-469779708363,Малаховская Елена Владимировна,"[""Малаховская Е. В."",""Малаховская Елена"",""Малаховская Елена В."",""Малаховская Елена Владимировна"",""Елена Малаховская"",""Е. Малаховская"",""Лена Малаховская"",""Елена Владимировна"",""Малаховская Лена"",""Л. Малаховская"",""Елена В. Малаховская"",""Малаховская Е.В."",""Малаховская Е. Владимировна""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
029a26db-5224-4648-a90a-03aae33731a8,Михнов-Вайтенко Григорий Александрович,"[""Григорий Михнов-Вайтенко"",""Михнов-Вайтенко Г. А."",""М-В Григорий А."",""Григорий М-В"",""Гриша Михнов-Вайтенко"",""Григорий Александрович Михнов-Вайтенко"",""Г. Михнов-Вайтенко"",""Михнов-Вайтенко Гриша"",""Михнов-Вайтенко Г."",""М-В Г."",""Гриша М-В"",""Михнов-Вайтенко Гришутка"",""Григорий Михнов"",""Михнов Григорий"",""Михнов Г. А."",""Вайтенко Григорий"",""Вайтенко Г. А.""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
